|| ping || 0.1249867 || #<Discordrb::User:0x0000000006af65a8> || h!ping ||
I, [2020-01-13T00:50:40.761865 #14084]  INFO -- : || ping || 0.120834 || #<Discordrb::User:0x0000000006c0db58> || h!ping ||

I, [2020-01-13T00:53:57.091533 #11876]  INFO -- : || ping || 0.2065073 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping ||

I, [2020-01-13T00:54:22.060071 #11876]  INFO -- : || ping || 0.1270543 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping ||

I, [2020-01-13T00:54:37.893650 #11876]  INFO -- : || ping || 0.1956058 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping ||

I, [2020-01-13T00:55:35.585054 #10092]  INFO -- : || ping || 0.1670272 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping ||

INFO || 2020-01-13 01:03:53 +0100 || || ping || 0.9870268 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping ||

INFO || 2020-01-13 01:04:15 +0100 || || ping || 0.2300221 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping ||

INFO 2020-01-13 01:22:09 +0100 || pasta || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!pasta
INFO 2020-01-13 01:26:39 +0100 || pasta || Toaster || h!pasta
INFO 2020-01-13 01:26:42 +0100 || integrovane_sluzby || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!integrovane_sluzby
INFO 2020-01-13 01:32:03 +0100 || new_log || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!new_log ayylien
INFO 2020-01-13 01:34:29 +0100 || pasta || Toaster || h!pasta
INFO 2020-01-13 01:35:32 +0100 || exams || wex || h!exams
INFO 2020-01-13 01:37:19 +0100 || help || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!help
INFO 2020-01-13 01:39:20 +0100 || ping || 0.2151908 || Dajvid || h!ping
INFO 2020-01-13 02:06:33 +0100 || ping || 0.1264559 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping
INFO 2020-01-13 02:13:28 +0100 || racism || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!racism
INFO 2020-01-13 02:14:37 +0100 || help || Dajvid || h!help
INFO 2020-01-13 02:14:49 +0100 || gibabay || molitann || h!ga
INFO 2020-01-13 02:15:14 +0100 || voip_bezp || Dajvid || h!voip_bezp
INFO 2020-01-13 02:15:37 +0100 || vahove_fronty || Oťas the Noťas || h!vahove_fronty
INFO 2020-01-13 02:21:31 +0100 || ping || 0.1310137 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping
INFO 2020-01-13 02:29:05 +0100 || ping || 0.2247865 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping
INFO 2020-01-13 02:30:45 +0100 || RTP || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!RTP je sice kratsi, ale zase wall of text
INFO 2020-01-13 15:05:06 +0100 || linux interjection || Véči || h!linux
INFO 2020-01-13 15:23:04 +0100 || help || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!help
INFO 2020-01-13 15:26:52 +0100 || help || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!help
INFO 2020-01-13 15:27:29 +0100 || racism || Venny || h!racism
INFO 2020-01-13 15:27:44 +0100 || gibabay || Venny || h!ga
INFO 2020-01-13 16:41:43 +0100 || gde body || Meddea_old_star || Gde body <:monkaHmm:587959701061369866>
INFO 2020-01-13 16:42:25 +0100 || gde body || Gojin (Pašerák) || Gde body
INFO 2020-01-13 16:45:53 +0100 || body gde || olok || body gde
INFO 2020-01-13 16:46:01 +0100 || gde body || olok || gde body
INFO 2020-01-13 16:46:07 +0100 || gde body || olok || gDe body
INFO 2020-01-13 16:46:13 +0100 || gde body || olok || gDE BOdy
INFO 2020-01-13 16:47:10 +0100 || gde body || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || GDE BODY me vysira
INFO 2020-01-13 16:51:49 +0100 || gde body || olok || gde body nevíte?
INFO 2020-01-13 16:52:36 +0100 || gde body || olok || myslíte že gde body?
INFO 2020-01-13 16:52:58 +0100 || gde body || olok || zajímavé, jsem myslel, že to máš jen tupě na "gde body", ale očividně funguje dobře <:PogChamp:530356296239677440>
INFO 2020-01-13 16:53:12 +0100 || gde body || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || ono to jenom hleda tu frazi `gde body` kdekoliv v textu
INFO 2020-01-13 16:53:36 +0100 || body gde || Greav || body gde?
INFO 2020-01-13 18:22:35 +0100 || LDAP || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!LDAP
INFO 2020-01-13 18:50:01 +0100 || linux interjection || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!linux
INFO 2020-01-13 18:50:59 +0100 || help || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!help
INFO 2020-01-13 18:51:02 +0100 || linux interjection || Abdo Laziz || h!linux
INFO 2020-01-13 19:03:18 +0100 || gibabay || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ga
INFO 2020-01-13 19:48:08 +0100 || gde body || tlapka || <@!358337749000126471> Neviděl si ITU room gde body? <:HAhaa:358329530668154880>
INFO 2020-01-13 19:48:09 +0100 || gde body || Redak || <@!358337749000126471> gde body
INFO 2020-01-13 19:48:35 +0100 || gde body || Redak || ale to neodpovídáš na otázku gde body <:monkaHmm:587959701061369866>
INFO 2020-01-13 19:48:48 +0100 || body gde || Šmoula || body gde
INFO 2020-01-13 19:49:49 +0100 || gde body || ElDandee || gde body a body gde <:honzikPika:531230731100225566>
INFO 2020-01-13 19:49:49 +0100 || body gde || ElDandee || gde body a body gde <:honzikPika:531230731100225566>
INFO 2020-01-13 19:50:06 +0100 || gde body || olok || gde body gde body
INFO 2020-01-13 19:50:06 +0100 || body gde || olok || gde body gde body
INFO 2020-01-13 19:50:13 +0100 || gde body || olok || gde body gde body gde body
INFO 2020-01-13 19:50:13 +0100 || body gde || olok || gde body gde body gde body
INFO 2020-01-13 19:50:13 +0100 || gde body || Šmoula || ```c
gde body
```
INFO 2020-01-13 19:50:21 +0100 || gde body || Redak || gde body gde
INFO 2020-01-13 19:50:21 +0100 || body gde || Redak || gde body gde
INFO 2020-01-13 19:50:39 +0100 || gde body || olok || co by se stalo kdyby ten bot psal "gde body"? zacyklil by se? <:monkaHmm:587959701061369866>
INFO 2020-01-13 19:50:43 +0100 || gde body || Redak || body gde body
INFO 2020-01-13 19:50:43 +0100 || body gde || Redak || body gde body
INFO 2020-01-13 19:51:25 +0100 || ping || 1.0362726 || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ping
INFO 2020-01-13 19:51:28 +0100 || gde body || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || gde body
INFO 2020-01-13 19:51:39 +0100 || gde body || olok || gde body
INFO 2020-01-13 20:24:12 +0100 || ISA_help || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!ISA_help
INFO 2020-01-13 20:24:21 +0100 || DNS_SEC || Venny || h!DNS_SEC
INFO 2020-01-13 20:26:08 +0100 || DNS_SEC || ꧁♡✿🌈Good Boi Holo🌈✿♡꧂ || h!DNS_SEC
INFO 2020-01-13 20:29:15 +0100 || ping || 0.9743362 || Holo's Papa || h!ping
INFO 2020-01-13 20:56:37 +0100 || H.323 || Smradoch || h!H323
INFO 2020-01-13 21:16:53 +0100 || leaky_bucket || neviem || h!leaky_bucket
INFO 2020-01-13 21:32:02 +0100 || help || Dajvid || h!help
INFO 2020-01-13 21:32:14 +0100 || exams || Dajvid || h!exams
INFO 2020-01-13 21:32:18 +0100 || racism || Neocon || h!racism
INFO 2020-01-13 21:59:06 +0100 || help || ElDandee || h!help
INFO 2020-01-13 21:59:23 +0100 || pasta || ElDandee || h!pasta
INFO 2020-01-13 22:58:35 +0100 || gde body || RockStar1337 || gde body?
INFO 2020-01-13 23:07:29 +0100 || ping || 0.9844599 || Holo's Papa || h!ping
INFO 2020-01-13 23:59:52 +0100 || rozsazeni || Holo's Papa || h!rozsazeni
INFO 2020-01-14 00:05:05 +0100 || ping || 3.3172894 || ElDandee || h!ping
INFO 2020-01-14 00:07:47 +0100 || rozsazeni || ElDandee || h!rozsazeni
INFO 2020-01-14 00:07:59 +0100 || rozsazeni || Holo's Papa || h!rozsazeni
INFO 2020-01-14 00:09:36 +0100 || ISA_help || Holo's Papa || h!ISA_help
INFO 2020-01-14 00:10:19 +0100 || rozsazeni || ElDandee || h!rozsazeni
INFO 2020-01-14 00:11:13 +0100 || why_ruby || Holo's Papa || h!why_ruby
INFO 2020-01-14 00:11:36 +0100 || why_ruby || Holo's Papa || h!why_ruby <:HAhaa:358329530668154880>
INFO 2020-01-14 00:13:26 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 00:13:30 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 00:23:31 +0100 || rozsazeni-attempt || Holo's Papa || h!rozsazeni
INFO 2020-01-14 00:24:16 +0100 || rozsazeni-attempt || Holo's Papa || h!rozsazeni
INFO 2020-01-14 00:24:20 +0100 || rozsazeni-attempt || Holo's Papa || h!rozsazeni
INFO 2020-01-14 00:34:15 +0100 || help || olok || h!help
INFO 2020-01-14 00:34:48 +0100 || ping || 0.9767013 || Holo's Papa || h!ping
INFO 2020-01-14 00:38:55 +0100 || gde body || olok || h!set gde body
INFO 2020-01-14 00:39:22 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:39:30 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:39:37 +0100 || gde body || olok || h!set_quote gde body
INFO 2020-01-14 00:39:40 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:39:45 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:39:46 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:39:47 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:41:22 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:41:26 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:44:37 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:45:02 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:04 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:11 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:13 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:14 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:15 +0100 || set_quote || Holo's Papa || h!xd
INFO 2020-01-14 00:45:15 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:21 +0100 || set_quote || Holo's Papa || h!xd ay ylmao
INFO 2020-01-14 00:45:24 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:45:41 +0100 || set_quote || Holo's Papa || h!xd olok je nenechava pica
INFO 2020-01-14 00:45:44 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:45:46 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:54 +0100 || set_quote || Holo's Papa || h!xd <@!241415544849432576>
INFO 2020-01-14 00:45:54 +0100 || gde body || olok || h!set_quote gde body
INFO 2020-01-14 00:45:56 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:57 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:45:59 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:45:59 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:46:04 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:05 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:05 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:06 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:07 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:14 +0100 || gde body || olok || h!set_quote gde body
INFO 2020-01-14 00:46:15 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:16 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:27 +0100 || set_quote || Holo's Papa || h!xd nesnasim FIT
INFO 2020-01-14 00:46:29 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:46:46 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:46:49 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:47:11 +0100 || quote || olok || h!quote
INFO 2020-01-14 00:51:12 +0100 || set_quote || Holo's Papa || h!new_quote aodwi j
INFO 2020-01-14 00:53:59 +0100 || set_quote || Holo's Papa || h!new_quote muj krasny quote
INFO 2020-01-14 00:54:02 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:54:26 +0100 || set_quote || Holo's Papa || h!new_quote gde body
INFO 2020-01-14 00:54:26 +0100 || gde body || Holo's Papa || h!new_quote gde body
INFO 2020-01-14 00:54:30 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:54:53 +0100 || set_quote || Holo's Papa || h!new_quote Ruby je big dicc lang
INFO 2020-01-14 00:56:33 +0100 || set_quote || Holo's Papa || h!set_quote jsem pepega?
INFO 2020-01-14 00:56:48 +0100 || set_quote || Holo's Papa || h!set_quote <:rtzW:364662200545050625> <:FeelsGoodMan:385510431462129665> <:pepeGun:359972722614468609>
INFO 2020-01-14 00:56:50 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 00:56:56 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 00:57:04 +0100 || linux interjection || Neocon || h!linux
INFO 2020-01-14 00:57:10 +0100 || karma || Neocon || h!karma
INFO 2020-01-14 00:59:38 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-14 00:59:46 +0100 || typy_KA || Holo's Papa || h!typy_KA
INFO 2020-01-14 01:00:12 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-14 01:01:11 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:01:56 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-14 01:02:53 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:03:03 +0100 || pasta || Neocon || h!pasta
INFO 2020-01-14 01:03:09 +0100 || pasta || peter || h!pasta
INFO 2020-01-14 01:09:07 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:10:02 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:11:15 +0100 || diag || Holo's Papa || h!diag
INFO 2020-01-14 01:23:00 +0100 || ping || 1.0068964 || Holo's Papa || h!ping
INFO 2020-01-14 01:27:51 +0100 || set_quote || Holo's Papa || h!set_quote A s touhle bombou se pro dnesek loucime
INFO 2020-01-14 01:28:26 +0100 || set_quote || Holo's Papa || h!set_quote A s touhle bombou se pro dnesek loucime
INFO 2020-01-14 01:28:34 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 01:29:28 +0100 || set_quote || Holo's Papa || h!set_quote blawdai awd liawj jli awjli
INFO 2020-01-14 01:29:34 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 01:36:23 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 01:36:28 +0100 || ISA_help || Holo's Papa || h!ISA_help
INFO 2020-01-14 01:36:31 +0100 || IFJ_help || Holo's Papa || h!IFJ_help
INFO 2020-01-14 01:38:51 +0100 || set_quote || Neocon || h!set_quote ara ara
INFO 2020-01-14 01:39:00 +0100 || quote || Neocon || h!quote
INFO 2020-01-14 01:39:23 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:39:27 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:41:16 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:41:19 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:41:20 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:41:22 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:42:01 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:42:02 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:42:04 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:42:06 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:42:07 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:42:43 +0100 || pasta || Holo's Papa || h!pasta
INFO 2020-01-14 01:43:44 +0100 || linux interjection || Holo's Papa || h!linux
INFO 2020-01-14 01:44:10 +0100 || linux interjection || Holo's Papa || h!linux
INFO 2020-01-14 01:45:02 +0100 || set_quote || Holo's Papa || h!set_quote Neocon je weeb
INFO 2020-01-14 01:46:15 +0100 || set_quote || Holo's Papa || h!set_quote adwoi j
INFO 2020-01-14 01:48:53 +0100 || bezkontextova_gramatika || Holo's Papa || h!bezkontextova_gramatika
INFO 2020-01-14 01:49:22 +0100 || bezkontextova_gramatika || Holo's Papa || h!bezkontextova_gramatika
INFO 2020-01-14 01:52:43 +0100 || bezkontextova_gramatika || Holo's Papa || h!bezkontextova_gramatika
INFO 2020-01-14 01:53:07 +0100 || set_quote || Holo's Papa || h!set_quote I hate niggers
INFO 2020-01-14 01:53:11 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 01:57:43 +0100 || quote || Holo's Papa || h!quote
INFO 2020-01-14 01:58:17 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 01:58:31 +0100 || gibabay || Holo's Papa || h!ga
INFO 2020-01-14 02:33:39 +0100 || help || Holo's Papa || h!help
INFO 2020-01-14 02:33:42 +0100 || racism || Holo's Papa || h!racism
INFO 2020-01-14 03:04:55 +0100 || cbt || Holo's Papa || h!cbt
INFO 2020-01-14 03:05:00 +0100 || exams || Holo's Papa || h!exams
INFO 2020-01-14 03:05:20 +0100 || exams || Holo's Papa || h!exams
